id,title,company,city,lat,lon,min_exp,skills,salary_min
58eaa3df-6e5e-4446-802d-fc5cd968522b,Host Live Streaming (Heylocal.id),Worldwhite Enterprise,,-6.29028,106.82639,1,"Sales and Marketing, Host, Radio Host",0
de942176-09b5-4a34-bfa1-1eb6d8f5cd07,DANCER HOST LIVESTREAM TIKTOK,PT ZHONGTANG MEDIA GROUP INDONESIA,,-6.12083,106.76111,0,"Dance, TikTok, Live Streaming, Host",0
a45531dc-9ce9-434f-ae9b-e7e4662ec298,Digital marketing,Sepakat Safety,,-6.25806,106.97778,1,"Marketing Communications, Social Media, Digital Marketing, Image Editing, Content Marketing",0
c85736fc-44ec-4cea-8163-89cf1a8cec17,Driver Direksi,DingChang Group,,-6.21944,106.82917,3,"Safe Driving, Driving, Customer Service",0
fca696ac-6bd4-4453-9405-06d3d4a1219f,Customer Service & After Sales,PT Dustin Mode Eternity,,-6.96972,107.6125,1,"Communication Skills, Customer Service, Help Desk, Microsoft Office, Problem Solving, English Language, Call Center, Teamwork, Customer Support",0
4c6c7cc6-5984-440d-b6e7-93ed231395d1,Sales Taking Order Area Cirebon,PT. Multi Warna Rasa,,-6.71676,108.53399,1,"Sales and Marketing, Sales Planning, Sales Strategy",0
47b088ef-d515-470b-96a7-dcec86f663d5,Fashion Designer,PT Dustin Mode Eternity,,-6.96972,107.6125,1,"Fashion Brand Sales, Pattern Making, Fashion Design",0
61e16594-9a4f-4740-9eba-f147bcb8c646,Customer service & Sales Specialist,PT ESBI BATARA NIAGA INDONESIA,,-6.43361,106.83167,1,"Customer Service, Communication Skills, Teamwork, Sales Management, Customer Support, Sales Strategy, Problem Solving",0
11b79704-55e6-415f-8bd1-c918c67f302e,Administrative Assistant,Yayasan Rumah Ohana Indonesia,,-6.21944,106.82917,1,"Organizational Skills, Administration, English Language, Data Entry, Attention to Detail, Google Docs, Microsoft Office, Google Sheets, Communicative",0
39633687-4426-4d0a-a2bb-30fcc21d60cc,Talent Pool - Performance Marketing Executive,MAD Digital Indonesia,,-6.14722,106.7375,1,"Media Planning, Analytical Skills, TikTok Ads, Creative Thinking, Online Advertising, Marketing Strategy, Programmatic Ads, Ecommerce Ads, Digital strategy, Digital Marketing, Meta Ads, Google Ads, Performance Marketing",0
