Kabupaten/Kota,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja,Provinsi
Wonosobo,526901.0,11067.0,10836.0,21903.0,548804.0,9601.0,40373.0,104138.0,31273.0,175784.0,724588.0,7574.0,Jawa Tengah
Magelang,806141.0,19374.0,10074.0,29448.0,835589.0,9648.0,73236.0,124710.0,36032.0,233978.0,1069567.0,7812.0,Jawa Tengah
Boyolali,651325.0,9447.0,10477.0,19924.0,671249.0,9703.0,55466.0,121595.0,21719.0,198780.0,870029.0,7715.0,Jawa Tengah
Klaten,759270.0,23032.0,7592.0,30624.0,789894.0,9612.0,82381.0,141883.0,30083.0,254347.0,1044241.0,7564.0,Jawa Tengah
Sukoharjo,507385.0,14656.0,8275.0,22931.0,530316.0,9568.0,65426.0,133280.0,28546.0,227252.0,757568.0,7000.0,Jawa Tengah
Wonogiri,670532.0,9022.0,5780.0,14802.0,685334.0,9784.0,46295.0,107523.0,32102.0,185920.0,871254.0,7866.0,Jawa Tengah
Karanganyar,554741.0,10735.0,7973.0,18708.0,573449.0,9674.0,56909.0,109344.0,26818.0,193071.0,766520.0,7481.0,Jawa Tengah
Sragen,582669.0,13666.0,7423.0,21089.0,603758.0,9651.0,55694.0,115883.0,30874.0,202451.0,806209.0,7489.0,Jawa Tengah
Grobogan,890205.0,17790.0,10840.0,28630.0,918835.0,9688.0,67482.0,151380.0,46626.0,265488.0,1184323.0,7758.0,Jawa Tengah
Blora,553710.0,15695.0,5019.0,20714.0,574424.0,9639.0,43268.0,105287.0,16958.0,165513.0,739937.0,7763.0,Jawa Tengah
Rembang,391924.0,6437.0,5251.0,11688.0,403612.0,9710.0,29237.0,73643.0,24806.0,127686.0,531298.0,7597.0,Jawa Tengah
Pati,819027.0,20911.0,10634.0,31545.0,850572.0,9629.0,54353.0,152570.0,45937.0,252860.0,1103432.0,7708.0,Jawa Tengah
Kudus,508814.0,11805.0,5195.0,17.0,525814.0,9677.0,44768.0,103458.0,20419.0,168645.0,694459.0,7572.0,Jawa Tengah
Jepara,688024.0,13743.0,9752.0,23495.0,711519.0,9670.0,70286.0,146282.0,40059.0,256627.0,968146.0,7349.0,Jawa Tengah
Demak,677741.0,21692.0,10808.0,32500.0,710241.0,9542.0,53883.0,168030.0,40229.0,262142.0,972383.0,7304.0,Jawa Tengah
Semarang,666472.0,18696.0,6374.0,25070.0,691542.0,9637.0,57592.0,99516.0,17370.0,174478.0,866020.0,7985.0,Jawa Tengah
Temanggung,493735.0,5976.0,5708.0,11684.0,505419.0,9769.0,42727.0,81653.0,20069.0,144449.0,649868.0,7777.0,Jawa Tengah
Kendal,617731.0,20063.0,9738.0,29801.0,647532.0,9540.0,49488.0,121013.0,28941.0,199442.0,846974.0,7645.0,Jawa Tengah
Batang,482846.0,18990.0,6806.0,25796.0,508642.0,9493.0,33017.0,98757.0,13319.0,145093.0,653735.0,7781.0,Jawa Tengah
Pekalongan,589947.0,11526.0,8198.0,19724.0,609671.0,9676.0,51194.0,103446.0,24682.0,179322.0,788993.0,7727.0,Jawa Tengah
Pemalang,810133.0,35719.0,21637.0,57356.0,867489.0,9339.0,58635.0,222603.0,56687.0,337925.0,1205414.0,7197.0,Jawa Tengah
Tegal,862126.0,41888.0,29132.0,71020.0,933146.0,9239.0,69953.0,220983.0,71800.0,362736.0,1295882.0,7201.0,Jawa Tengah
Brebes,1065808.0,64600.0,28981.0,93581.0,1159389.0,9193.0,82485.0,324230.0,46343.0,453058.0,1612447.0,7190.0,Jawa Tengah
Kota Magelang,65126.0,1079.0,1851.0,2930.0,68056.0,9569.0,8087.0,21298.0,3103.0,32488.0,100544.0,6769.0,Jawa Tengah
Kota Surakarta,288008.0,7815.0,5771.0,13586.0,301594.0,9550.0,35826.0,74635.0,14638.0,125099.0,426693.0,7068.0,Jawa Tengah
