matched_regency,Provinsi,unemployment_num,labor_force_num,Latitude,Longitude,job_volume,competitive_index,opportunity_index,tpt,prosperity_status,cluster_id,hub_type
Kota Tegal,Jawa Tengah,8964.0,153963.0,-6.8674488,109.1378271,123,1.2439024390243902,0.0137215528781793,5.82,Lautan Peluang,0,Economic Hub
Kota Yogyakarta,DI Yogyakarta,12473.0,218161.0,-7.801349,110.3647351,1046,1.3097514340344167,0.083861140062535,5.72,Lautan Peluang,0,Economic Hub
Kudus,Jawa Tengah,17000.0,525814.0,-6.7978494,110.8679109,90,1.3666666666666667,0.0052941176470588,3.23,Lautan Peluang,0,Economic Hub
Kulon Progo,DI Yogyakarta,6053.0,282745.0,-7.8123076,110.1479828,13,1.0,0.0021476953576738,2.14,Lautan Peluang,0,Economic Hub
Kuningan,Jawa Barat,50019.0,658799.0,-6.9869841,108.5538158,29,1.2758620689655171,0.0005797796837201,7.59,Zona Merah,0,Economic Hub
Lamongan,Jawa Timur,35733.0,833612.0,-7.1229318,112.3281935,56,1.4107142857142858,0.0015671787983096,4.29,Zona Merah,0,Economic Hub
Lebak,Banten,51478.0,705374.0,-6.6432471,106.1868837,8,1.875,0.0001554061929367,7.3,Zona Merah,1,Economic Hub
Lumajang,Jawa Timur,19771.0,641835.0,-8.1237818,113.1436747,14,1.1428571428571428,0.0007081078347073,3.08,Zona Merah,0,Economic Hub
Madiun,Jawa Timur,14710.0,456531.0,-7.6118876,111.6731926,3,1.0,0.0002039428959891,3.22,Zona Merah,0,Economic Hub
Magelang,Jawa Tengah,29448.0,835589.0,-7.5136144,110.2145133,19,1.2105263157894737,0.0006452051073077,3.52,Zona Merah,0,Economic Hub
Magetan,Jawa Timur,13553.0,415305.0,-7.6542489,111.3360565,24,1.1666666666666667,0.0017708256474581,3.26,Zona Merah,0,Economic Hub
Majalengka,Jawa Barat,28157.0,777708.0,-6.8073627,108.278786,46,1.3043478260869563,0.0016336967716731,3.62,Zona Merah,0,Economic Hub
Malang,Jawa Timur,80786.0,1614304.0,-8.1047981,112.6879872,38,1.3157894736842106,0.0004703785309335,5.0,Zona Merah,0,Economic Hub
Mojokerto,Jawa Timur,23634.0,677257.0,-7.5413377,112.5094975,12,1.5,0.0005077430820005,3.49,Zona Merah,0,Economic Hub
Nganjuk,Jawa Timur,25489.0,663438.0,-7.6150161,111.9465075,48,1.2708333333333333,0.0018831652869865,3.84,Zona Merah,0,Economic Hub
Ngawi,Jawa Timur,12085.0,535919.0,-7.374599,111.0070499,31,1.2903225806451613,0.0025651634257343,2.26,Lautan Peluang,0,Economic Hub
Pacitan,Jawa Timur,5490.0,392394.0,-8.1017184,111.1446711,11,1.181818181818182,0.0020036429872495,1.4,Lautan Peluang,0,Economic Hub
Pamekasan,Jawa Timur,7336.0,550693.0,-7.0708133,113.5003939,22,1.1363636363636365,0.0029989094874591,1.33,Lautan Peluang,0,Economic Hub
Pandeglang,Banten,54971.0,624625.0,-6.5473765,105.7994879,15,1.2666666666666666,0.0002728711502428,8.8,Zona Merah,1,Economic Hub
Pangandaran,Jawa Barat,5262.0,274841.0,-7.6407968,108.5567288,13,1.4615384615384617,0.0024705435195743,1.91,Lautan Peluang,0,Economic Hub
Pasuruan,Jawa Timur,41410.0,981059.0,-7.7508114,112.818483,31,1.3548387096774193,0.0007486114465105,4.22,Zona Merah,0,Economic Hub
Pati,Jawa Tengah,31545.0,850572.0,-6.7534144,111.0399982,59,1.271186440677966,0.0018703439530828,3.71,Zona Merah,0,Economic Hub
Pekalongan,Jawa Tengah,19724.0,609671.0,-7.0418471,109.6198875,57,1.3157894736842106,0.0028898803488136,3.24,Lautan Peluang,0,Economic Hub
Pemalang,Jawa Tengah,57356.0,867489.0,-7.0110802,109.3914037,36,1.2777777777777777,0.0006276588325545,6.61,Zona Merah,0,Economic Hub
Ponorogo,Jawa Timur,24274.0,629741.0,-7.9712266,111.4988929,29,1.3103448275862069,0.0011946939111806,3.85,Zona Merah,0,Economic Hub
Probolinggo,Jawa Timur,20934.0,717180.0,-7.86316,113.3051053,27,1.3333333333333333,0.0012897678417884,2.92,Zona Merah,0,Economic Hub
Purbalingga,Jawa Tengah,29581.0,612818.0,-7.32733,109.3998987,4,1.0,0.0001352219329975,4.83,Zona Merah,0,Economic Hub
Purwakarta,Jawa Barat,40269.0,533867.0,-6.5913665,107.4019784,94,1.3936170212765957,0.0023343018202587,7.54,Lautan Peluang,1,Economic Hub
Purworejo,Jawa Tengah,17896.0,480466.0,-7.7073021,109.9665117,16,1.125,0.0008940545373267,3.72,Zona Merah,0,Economic Hub
Rembang,Jawa Tengah,11688.0,403612.0,-6.7698635,111.4556709,31,1.1935483870967742,0.0026522929500342,2.9,Lautan Peluang,0,Economic Hub
Sampang,Jawa Timur,14744.0,603440.0,-7.0578157,113.2540541,6,1.3333333333333333,0.0004069451980466,2.44,Zona Merah,0,Economic Hub
Semarang,Jawa Tengah,25070.0,691542.0,-7.2876561,110.4019427,80,1.475,0.0031910650179497,3.63,Lautan Peluang,0,Economic Hub
Serang,Banten,76327.0,873816.0,-6.1057256,105.9884196,225,1.3822222222222222,0.0029478428341216,8.73,Lautan Peluang,1,Economic Hub
Sidoarjo,Jawa Timur,69549.0,1209700.0,-7.4539769,112.6593869,517,1.3462282398452612,0.0074336079598556,5.75,Lautan Peluang,0,Economic Hub
Situbondo,Jawa Timur,13488.0,447205.0,-7.7986089,114.264743,24,1.2083333333333333,0.0017793594306049,3.02,Zona Merah,0,Economic Hub
Sleman,DI Yogyakarta,28117.0,690157.0,-7.6894175,110.3812904,470,1.2361702127659575,0.0167158658462851,4.07,Lautan Peluang,0,Economic Hub
Sragen,Jawa Tengah,21089.0,603758.0,-7.3924563,110.9530232,51,1.411764705882353,0.0024183223481435,3.49,Lautan Peluang,0,Economic Hub
Subang,Jawa Barat,61959.0,910531.0,-6.4983887,107.7346278,106,1.4339622641509433,0.001710808760632,6.8,Zona Merah,1,Economic Hub
